orig,fm_sketch,hyperloglog,hyperloglog64
100,256,121,82
101,256,121,101
102,256,121,105
103,256,121,105
104,256,121,105
105,256,121,105
106,256,121,105
107,256,121,105
108,256,121,105
109,256,121,105
110,256,121,105
111,256,127,105
112,256,127,105
113,256,127,105
114,256,127,105
115,256,127,105
116,256,127,105
117,256,127,105
118,256,127,105
119,256,127,105
120,256,127,105
121,256,127,105
122,256,127,105
123,256,127,105
124,256,127,105
125,256,127,105
126,256,127,105
127,256,127,105
128,256,127,118
129,256,127,118
130,256,127,119
131,256,127,119
132,256,127,122
133,256,127,122
134,256,127,122
135,256,127,122
136,256,127,122
137,256,127,122
138,256,127,122
139,256,132,122
140,256,132,122
141,256,132,122
142,256,132,122
143,256,132,122
144,256,132,122
145,256,132,122
146,256,132,122
147,256,132,122
148,256,132,122
149,256,132,122
150,256,132,122
151,256,132,122
152,256,132,122
153,256,132,122
154,256,132,145
155,256,132,145
156,256,132,145
157,256,132,145
158,256,132,145
159,256,132,145
160,256,132,145
161,256,132,145
162,256,132,145
163,256,132,146
164,256,132,146
165,256,132,146
166,256,132,146
167,256,132,146
168,256,132,146
169,256,132,146
170,256,132,146
171,256,132,146
172,256,132,146
173,256,132,146
174,256,132,146
175,256,132,146
176,256,132,146
177,256,132,146
178,256,132,146
179,256,132,146
180,256,132,146
181,256,132,146
182,256,132,146
183,256,132,150
184,256,132,150
185,256,132,150
186,256,132,150
187,256,138,168
188,256,138,168
189,256,138,168
190,256,138,168
191,256,138,168
192,256,138,168
193,256,138,168
194,256,162,168
195,256,162,168
196,256,162,168
197,256,162,168
198,256,162,168
199,256,162,176
200,256,162,233
201,256,162,233
202,256,173,233
203,256,173,233
204,256,173,233
205,256,173,233
206,256,173,233
207,256,173,233
208,256,173,233
209,256,173,233
210,256,173,233
211,256,173,233
212,256,173,273
213,256,197,273
214,256,197,273
215,256,230,273
216,256,230,273
217,256,230,273
218,256,230,273
219,256,230,273
220,256,230,273
221,256,230,273
222,256,230,273
223,256,230,273
224,256,270,273
225,512,270,273
226,512,270,273
227,512,270,273
228,512,270,273
229,512,270,273
230,512,270,273
231,512,270,273
232,512,284,273
233,512,284,287
