time,permit
2,1005
976,753
1702,329
2023,319
2334,219
2562,622
3165,613
3754,344
4091,950
5018,264
5290,593
5863,827
6663,877
7519,280
7792,54
7859,956
8787,664
9427,421
9839,399
10228,871
11093,212
11295,60
11344,927
12249,969
13196,54
13262,6
13263,83
13336,396
13722,250
13966,575
14542,553
15077,110
15175,418
15583,439
16012,963
16967,783
17726,935
18630,592
19209,982
20168,854
21015,580
21577,135
21699,629
22314,566
22866,615
23481,956
24409,640
25026,172
25194,136
25327,619
25945,794
26715,560
27254,422
27666,298
27956,444
28404,164
28560,622
29158,770
29909,437
30337,168
30514,881
31370,547
31895,970
32842,161
32999,112
33123,934
34030,815
34817,414
35221,651
35857,969
36817,427
37229,881
38081,168
38244,823
39048,280
39336,483
39802,781
40556,891
41426,19
41445,846
42285,130
42407,653
43036,249
43278,363
43633,689
44320,489
44792,413
45187,592
45765,353
46110,17
46141,86
46219,768
46961,182
47138,230
47362,186
47558,798
48333,186
48505,627
49118,412
49520,244
49772,859
50606,239
50831,451
51270,776
52029,635
52662,988
53623,625
54224,386
54601,852
55433,3
55450,550
55982,68
56040,153
56189,268
56450,619
57069,91
57153,755
57881,508
58377,802
59161,790
59946,826
60748,836
61555,750
62288,732
63002,552
63555,297
63840,326
64150,44
64193,253
64440,230
64678,588
65248,458
65686,925
66589,587
67162,49
67224,327
67538,479
67997,60
68056,47
68102,540
68643,512
69138,327
69449,15
69463,77
69538,2
69555,314
69857,770
70599,550
71136,428
71554,639
72192,382
72560,964
73492,1011
74479,869
75328,782
76106,267
76362,996
77326,953
78256,911
79146,894
80033,570
80584,968
81521,101
81619,472
82080,277
82365,52
82411,237
82633,648
83266,662
83913,190
84112,934
85019,364
85366,877
86222,688
86894,255
87157,402
87544,198
87729,402
88121,29
88150,757
88903,123
89018,663
89657,93
89748,255
89997,41
90050,907
90931,413
91325,133
91455,892
92326,520
92849,954
93775,336
94094,984
95055,820
95856,820
96671,327
96985,719
97678,703
98364,244
98603,133
98747,521
99251,404
99636,657
100278,777
101037,611
101647,1
101643,1
101635,1
101636,1
101637,1
101652,1
101648,1
101640,1
101641,1
101642,1
101657,1
101653,1
101644,1
101645,1
101646,1
101662,1
101658,1
101650,1
101651,1
101652,1
101667,1
101662,1
101654,1
101656,1
101657,1
101671,1
101667,1
101660,1
101660,1
101661,1
101676,1
101672,1
101664,1
101665,1
101666,1
101681,1
101677,1
101669,1
101670,1
101671,1
101686,1
101682,1
101674,1
101675,1
101676,1
101691,1
101687,1
101679,1
101680,1
101681,1
101696,1
101692,1
101684,1
101685,1
101685,1
101701,1
101697,1
101688,1
101689,1
101691,1
101706,1
101702,1
101694,1
101695,1
101695,1
101710,1
101707,1
101699,1
101699,1
101700,1
101716,1
101711,1
101703,1
101704,1
101706,1
101720,1
101717,1
101708,1
101709,1
101710,1
101725,1
101721,1
101713,1
101714,1
101715,1
101730,1
101726,1
101718,1
101719,1
101720,1
101735,1
101731,1
101722,1
101724,1
101725,1
101740,131
101863,201
102050,525
102563,753
103298,787
104080,692
104751,2288
106977,2480
109398,516
109903,1512
111394,3964
115259,3836
118996,2864
121794,1548
123305,2448
125710,468
126162,2392
128489,3712
132113,3828
135852,948
136791,1428
138181,3448
141539,2484
143966,1832
145754,704
146456,3924
150283,2688
152899,3380
156200,84
156282,280
156569,2572
159076,296
159356,3568
162840,2664
165442,380
165827,1908
167685,264
167933,3180
171040,2996
173965,2800
176713,276
176978,3180
180075,3808
183793,3132
186852,3472
190256,64
190314,1216
191492,2264
193704,1180
194855,3816
198596,1000
199567,549
200095,891
200965,820
201766,415
202185,972
203130,576
203683,63
203744,986
204707,422
205133,897
206004,192
206183,925
207086,577
207649,397
208052,216
208257,795
209025,594
209605,957
210540,944
211475,291
211755,392
212128,160
212284,754
213021,754
213771,353
214111,961
215040,111
215148,349
215489,169
215669,778
216423,482
216885,39
216923,567
217477,763
218236,234
218460,248
218693,426
219109,925
220012,137
220160,46
220200,742
220915,374
221280,684
221948,684
222631,142
222764,872
223607,887
224472,50
224521,538
225061,327
225375,379
225736,1001
226714,512
227214,972
228177,640
228798,681
229453,49
229501,149
229647,140
229798,250
230036,159
230183,706
230872,728
231583,987
232561,738
233276,206
233469,391
233851,859
234690,975
235656,25
235676,175
235837,364
236193,352
236536,123
236670,141
236803,7
236800,312
237105,799
237886,577
238464,98
238554,246
238786,44
238828,746
239557,500
240059,576
240616,259
240861,278
241132,199
241327,168
241504,790
242271,514
242764,956
243698,498
244184,396
244584,29
244608,791
245371,255
245620,640
246245,715
246958,782
247716,61
247767,708
248458,846
249284,618
249902,370
250258,890
251118,818
251918,454
252361,370
252736,944
253652,537
254168,856
255004,182
255182,123
255316,866
256157,123
256267,612
256865,251
257110,351
257468,445
257897,383
258262,309
258563,816
259360,576
259937,871
260782,105
260876,290
261159,569
261715,84
261811,748
262536,580
263094,44
263137,979
264093,303
264402,851
265229,1012
266208,923
267110,791
267882,944
268818,297
269103,891
269964,286
270243,275
270512,12
270538,235
270762,816
271550,704
272238,727
272947,111

