required,available,time_us
497,10,1
826,59,3001
837,240,6001
416,989,11002
564,425,11002
408,17,11002
556,502,15002
626,597,18003
953,54,22003
579,62,25004
632,211,29004
1023,736,33005
681,55,33005
1022,77,38006
480,595,41006
780,253,45006
810,230,49007
892,97,53007
441,406,56007
846,247,59008
535,217,62008
980,490,66009
806,113,70009
600,141,74009
502,451,77010
683,21,80010
681,5,85011
884,171,88011
512,170,93011
666,542,96012
531,11,96012
449,518,100012
919,686,103012
374,312,103012
662,145,107013
475,792,111013
348,444,111013
901,413,115014
801,109,119014
866,187,123015
665,185,127015
1,184,127015
1,183,127015
1,182,127015
1,181,127015
1,180,127015
1,179,127015
1,178,127015
1,177,127015
1,176,127015
1,175,127015
1,174,127015
1,173,127015
1,172,127015
1,171,127015
1,170,127015
1,169,127015
1,168,127015
1,167,127015
1,166,127015
808,13,131016
965,288,135016
524,216,139017
705,271,142017
608,504,145017
491,13,145017
379,830,149018
715,115,149018
960,319,153019
422,270,157019
346,357,160019
769,549,163020
750,535,167020
426,109,167020
530,14,170021
801,558,174021
891,453,179022
764,103,183023
660,121,186023
951,103,189023
351,595,193024
586,9,193024
464,599,197024
470,129,197024
352,140,201025
894,618,205025
785,288,210026
725,42,215026
342,469,218027
849,175,222027
530,474,226028
424,218,229028
507,661,233029
592,69,233029
425,154,238029
886,128,241030
706,553,246030
351,202,246030
937,309,250031
753,411,253031
517,507,0
916,118,1001
602,53,5001
699,381,10002
436,34,14002
689,199,17003
689,54,22003
461,62,25004
888,227,28004
617,735,32005
1014,603,37005
761,51,40006
731,448,44006
439,9,44006
654,771,48007
346,425,48007
409,16,48007
692,421,52007
489,208,55007
605,645,58008
576,69,58008
450,217,62008
966,446,65009
803,467,69009
874,346,73009
379,296,76010
533,457,79010
862,394,83010
516,31,87011
882,300,91011
873,184,95012
433,315,99012
609,35,101012
951,243,105013
745,700,109013
668,32,109013
503,213,113013
951,318,118014
606,29,122015
660,136,125015
683,507,128015
1,506,128015
1,505,128015
1,504,128015
1,503,128015
1,502,128015
1,501,128015
1,500,128015
1,499,128015
1,498,128015
1,497,128015
1,496,128015
1,495,128015
1,494,128015
1,493,128015
1,492,128015
1,491,128015
1,490,128015
1,489,128015
1,488,128015
348,140,128015
476,13,131016
655,229,134016
565,216,139017
1018,267,143017
880,549,147018
701,576,151018
964,117,155019
957,337,158019
639,280,161020
769,96,164020
688,168,169021
790,68,172021
954,315,177022
806,271,182022
857,486,185023
858,30,188023
780,354,192024
930,74,195024
754,623,200025
513,110,200025
746,612,203025
441,171,203025
547,544,208026
823,438,213026
494,162,217027
762,64,219027
688,511,223027
731,20,227028
836,406,230028
1003,90,234029
404,154,238029
725,427,242030
357,70,242030
888,338,247031
481,437,251031
721,71,254032
644,464,256032
917,484,259032
398,86,259032
918,224,2001
450,53,5001
594,548,9002
492,56,9002
997,34,14002
413,199,17003
605,672,21003
1009,78,24004
616,91,27004
785,328,31005
951,593,36005
650,51,40006
930,155,43006
964,401,47007
932,89,51007
557,208,55007
409,226,57008
938,178,61008
372,388,64008
660,650,68009
404,246,68009
675,798,72009
602,196,72009
783,296,76010
598,457,79010
505,851,82010
619,232,82010
713,316,86011
730,699,90011
541,158,90011
424,770,94012
822,392,98012
528,405,101012
370,35,101012
474,170,104012
748,421,108013
957,213,113013
908,245,117014
887,264,121014
696,136,125015
584,580,129015
1,579,129015
1,578,129015
1,577,129015
1,576,129015
1,575,129015
1,574,129015
1,573,129015
1,572,129015
1,571,129015
1,570,129015
1,569,129015
1,568,129015
1,567,129015
1,566,129015
1,565,129015
1,564,129015
1,563,129015
1,562,129015
1,561,129015
722,315,132016
966,346,136016
454,786,140017
453,333,140017
432,88,144017
934,185,148018
695,255,152018
592,122,156019
783,39,159019
1010,294,162020
960,261,166020
648,14,170021
757,335,173021
1019,320,178022
428,103,183023
729,121,186023
402,30,188023
432,595,193024
691,407,196024
368,39,196024
642,140,201025
707,488,204025
966,602,209026
553,49,209026
1004,458,214026
727,162,217027
903,185,220027
852,683,224028
374,309,224028
361,20,227028
788,642,231028
990,124,235029
454,154,238029
820,128,241030
