lopri,hipri,available,time_us
0,346,87,1001
0,689,2,4001
0,920,649,9002
0,568,81,9002
0,742,48,11002
0,534,568,13002
0,638,522,15002
0,427,95,15002
0,619,13,18003
0,534,38,20003
0,414,264,24004
0,988,196,27004
0,375,445,31005
0,537,639,34005
0,649,93,38005
0,914,397,41006
0,946,410,47006
0,984,130,49006
0,645,455,51006
0,862,379,53007
0,481,284,55007
0,512,27,59007
0,592,48,62008
0,365,83,65008
0,892,599,68008
0,448,151,68008
0,578,177,71008
0,586,110,73009
0,446,52,77009
0,368,228,79009
0,759,203,81009
0,869,32,83010
0,401,290,84010
0,854,301,86010
0,377,316,88010
0,344,59,89010
0,1013,111,91010
0,844,292,93011
0,933,232,96011
0,392,177,99011
0,814,167,101012
0,1,166,101012
0,1,165,101012
0,1,164,101012
0,1,163,101012
0,1,162,101012
0,1,161,101012
0,1,160,101012
0,1,159,101012
0,1,158,101012
0,1,157,101012
0,1,156,101012
0,1,155,101012
0,1,154,101012
0,1,153,101012
0,1,152,101012
0,1,151,101012
0,1,150,101012
0,1,149,101012
0,1,148,101012
0,824,273,103012
0,618,432,106012
0,717,181,109012
0,591,597,112013
0,701,57,117013
0,571,393,119013
0,887,389,121014
0,818,59,123014
0,532,725,125014
0,821,463,127014
0,429,34,127014
0,573,13,130015
0,473,368,133015
0,855,161,135015
0,874,270,140016
0,1016,24,144016
0,592,332,147017
0,925,213,149017
0,851,9,152018
0,477,573,154018
0,608,55,158018
0,1005,225,160019
0,516,572,164019
0,658,485,167020
0,775,200,169020
0,597,302,171020
0,462,708,174021
0,605,103,174021
0,820,599,177021
0,491,108,177021
0,530,371,179021
0,488,241,181022
0,928,471,184022
0,438,33,184022
0,752,53,188023
0,873,185,191023
0,547,242,193023
0,670,498,196024
0,487,11,196024
0,902,418,199024
0,978,133,2001
0,871,541,7001
0,698,407,10002
0,595,78,12002
0,875,136,14002
0,972,147,16003
0,960,13,18003
0,925,137,21003
0,817,471,25004
0,921,169,30004
0,880,152,33005
0,823,425,37005
0,595,522,39005
0,996,250,45006
0,581,90,48006
0,633,76,50006
0,415,560,52007
0,343,217,52007
0,675,143,54007
0,495,282,57007
0,984,67,60007
0,904,214,64008
0,871,236,66008
0,794,381,69008
0,960,241,72008
0,878,406,76009
0,626,228,79009
0,469,203,81009
0,482,32,83010
0,384,565,85010
0,434,131,85010
0,669,656,87010
0,937,59,89010
0,428,111,91010
0,473,112,92011
0,474,141,95011
0,860,396,97011
0,697,504,100011
0,591,73,102012
0,714,26,105012
0,789,269,108012
0,1,268,108012
0,1,267,108012
0,1,266,108012
0,1,265,108012
0,1,264,108012
0,1,263,108012
0,1,262,108012
0,1,261,108012
0,1,260,108012
0,1,259,108012
0,1,258,108012
0,1,257,108012
0,1,256,108012
0,1,255,108012
0,1,254,108012
0,1,253,108012
0,1,252,108012
0,1,251,108012
0,1,250,108012
0,721,567,111013
0,800,360,115013
0,685,377,118013
0,434,252,120013
0,478,498,122014
0,645,59,123014
0,941,260,126014
0,753,305,128014
0,968,13,130015
0,449,368,133015
0,519,161,135015
0,599,36,141016
0,793,367,146017
0,779,114,148017
0,982,255,150017
0,437,9,152018
0,423,26,153018
0,662,512,157018
0,873,206,159019
0,939,190,162019
0,982,119,166019
0,614,200,169020
0,752,302,171020
0,680,146,173020
0,953,395,176021
0,576,371,179021
0,967,241,181022
0,785,272,185022
0,755,34,190023
0,919,290,192023
0,601,38,194023
0,812,223,197024
0,697,364,200024
0,835,553,201024
0,780,197,202024
0,663,558,203025
0,846,320,205025
0,523,109,207025
0,417,787,209025
0,664,123,209025
0,598,188,3001
0,1020,545,8002
0,641,48,11002
0,399,78,12002
0,581,136,14002
0,603,568,17003
0,812,225,19003
0,517,264,24004
0,989,66,29004
0,373,445,31005
0,453,152,33005
0,707,93,38005
0,821,222,44006
0,763,90,48006
0,445,76,50006
0,504,560,52007
0,585,143,54007
0,402,284,55007
0,916,390,58007
0,914,177,61007
0,790,83,65008
0,793,467,67008
0,886,177,71008
0,569,110,73009
0,878,198,78009
0,845,407,80009
0,868,359,82010
0,365,290,84010
0,365,131,85010
0,987,316,88010
0,555,528,90010
0,550,112,92011
0,389,141,95011
0,550,177,99011
0,547,167,101012
0,508,73,102012
0,741,556,104012
0,675,34,107012
0,376,181,109012
0,403,597,112013
0,845,57,117013
0,1,56,117013
0,1,55,117013
0,1,54,117013
0,1,53,117013
0,1,52,117013
0,1,51,117013
0,1,50,117013
0,1,49,117013
0,1,48,117013
0,1,47,117013
0,1,46,117013
0,1,45,117013
0,1,44,117013
0,1,43,117013
0,1,42,117013
0,1,41,117013
0,1,40,117013
0,1,39,117013
0,1,38,117013
0,437,393,119013
0,731,252,120014
0,437,498,122014
0,850,233,124014
0,548,260,126014
0,799,530,129015
0,828,209,131015
0,881,511,134015
0,948,135,138016
0,693,367,142016
0,467,332,147017
0,463,114,148017
0,1006,273,151017
0,584,26,153018
0,937,150,156018
0,873,55,158018
0,588,105,161019
0,944,652,165019
0,575,77,165019
0,944,565,168020
0,597,627,170020
0,865,146,173020
0,803,324,175021
0,679,453,178021
0,723,672,180021
0,1005,375,183022
0,925,460,187022
0,685,34,190023
0,525,242,193023
0,627,38,194023
0,423,296,198024
0,381,364,200024
0,600,197,202024
0,1021,561,204025
0,419,142,204025
0,866,478,206025
0,870,109,207025
0,953,180,208025
0,797,350,210025
0,520,854,211026
842,0,87,1001
521,0,2,4001
977,0,388,6001
900,0,261,22003
372,0,171,23004
345,0,160,26004
523,0,31,28004
939,0,69,35005
792,0,287,40005
683,0,153,42006
533,0,19,43006
942,0,332,46006
621,0,98,56007
875,0,27,59007
978,0,94,63008
775,0,359,74009
447,0,260,75009
932,0,52,77009
489,0,141,95011
479,0,95,98011
840,0,26,105012
941,0,264,110013
720,0,136,114013
967,0,266,132015
851,0,585,137016
526,0,59,137016
385,0,120,139016
659,0,36,141016
912,0,136,145017
818,0,63,155018
556,0,105,161019
535,0,64,163019
909,0,356,182022
679,0,53,188023
918,0,144,195024
868,0,573,212026
416,0,157,212026
465,0,716,213026
763,0,232,214026
615,0,221,216026
994,0,251,217026
1,0,250,217026
1,0,249,217026
1,0,248,217026
1,0,247,217026
1,0,246,217026
1,0,245,217026
1,0,244,217026
1,0,243,217026
1,0,242,217026
1,0,241,217026
1,0,240,217026
1,0,239,217026
1,0,238,217026
1,0,237,217026
1,0,236,217026
1,0,235,217026
1,0,234,217026
1,0,233,217026
1,0,232,217026
462,0,129,218026
674,0,12,220027
706,0,317,221027
1024,0,311,222027
534,0,54,223027
847,0,275,225027
937,0,365,227028
851,0,364,229028
375,0,299,230028
1022,0,558,232028
462,0,96,232028
379,0,798,234028
505,0,293,234028
904,0,606,236029
597,0,9,236029
437,0,783,238029
486,0,297,238029
418,0,41,239029
516,0,18,240029
504,0,146,242029
947,0,223,243030
544,0,350,244030
851,0,67,245030
905,0,439,247030
735,0,274,248030
869,0,449,250030
1003,0,282,252031
881,0,472,254031
453,0,19,254031
658,0,748,256031
344,0,404,256031
1012,0,209,258031
653,0,159,259032
702,0,123,260032
1003,0,278,262032
508,0,469,264032
830,0,663,265032
537,0,126,265032
629,0,662,267033
395,0,267,267033
773,0,251,0
371,0,188,3001
685,0,341,5001
677,0,38,20003
742,0,171,23004
990,0,160,26004
666,0,31,28004
1008,0,461,32005
655,0,69,35005
869,0,224,36005
467,0,287,40005
585,0,153,42006
625,0,19,43006
589,0,98,56007
345,0,282,57007
561,0,48,62008
788,0,617,70008
676,0,260,75009
847,0,469,94011
846,0,95,98011
747,0,34,107012
992,0,629,113013
797,0,136,114013
805,0,579,116013
773,0,412,136015
654,0,120,139016
942,0,449,143016
433,0,16,143016
716,0,63,155018
615,0,64,163019
659,0,667,172020
935,0,361,186022
627,0,450,189023
528,0,296,198024
437,0,157,212026
745,0,232,214026
910,0,346,215026
534,0,221,216026
665,0,129,218026
820,0,333,219026
671,0,12,220027
1,0,11,220027
1,0,10,220027
1,0,9,220027
1,0,8,220027
1,0,7,220027
1,0,6,220027
1,0,5,220027
1,0,4,220027
1,0,3,220027
1,0,2,220027
1,0,1,220027
1,0,0,220027
1,0,317,221027
1,0,316,221027
1,0,315,221027
1,0,314,221027
1,0,313,221027
1,0,312,221027
1,0,311,221027
387,0,414,223027
360,0,54,223027
980,0,98,224027
396,0,903,226028
625,0,278,226028
731,0,658,228028
467,0,191,228028
365,0,648,230028
349,0,299,230028
767,0,556,231028
967,0,153,233028
831,0,486,235029
837,0,196,237029
862,0,41,239029
531,0,18,240029
655,0,387,241029
761,0,146,242029
353,0,350,244030
456,0,67,245030
771,0,320,246030
454,0,274,248030
464,0,834,249030
540,0,294,249030
869,0,604,251031
343,0,261,251031
455,0,851,253031
522,0,329,253031
661,0,382,255031
773,0,655,257031
458,0,197,257031
421,0,159,259032
358,0,123,260032
890,0,257,261032
852,0,450,263032
497,0,469,264032
883,0,267,266032
784,0,507,268033
800,0,731,269033
656,0,75,269033
637,0,462,270033
